Scenario,Replication,RAccessTime,CAccess,UATriage,UAOng,UACris,C1,C2,C18,C17,C16,C15,C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C4,C3
DRDC,1,79.1007225948278,1.24206623157159,20.5666666666667,120.55,23.3333333333333,10,15,0,0,0,0,4,30,13,29,23,30,31,36,33,29,17,19
DRDC,2,85.1314082229988,3.22174933980625,22.4333333333333,111.816666666667,23.7166666666667,9,18,0,0,0,0,6,24,25,36,35,39,27,32,33,29,19,23
DRDC,3,91.2379289591751,3.19088476067136,21.3166666666667,116.1,22.4333333333333,6,13,0,0,0,0,7,38,21,36,27,44,49,32,34,28,12,35
DRDC,4,65.9339689225366,4.91338501184088,25.4833333333333,119.5,23.5666666666667,6,11,0,0,0,0,17,21,30,33,19,37,38,36,25,29,14,29
DRDC,5,76.6371072259443,4.72722471149032,24.1166666666667,110.766666666667,19.5333333333333,10,18,0,0,0,0,11,38,25,40,29,45,31,35,38,31,15,23
DRDC,6,62.5608235095075,1.05837562194335,28.1,122.95,23.8833333333333,7,12,0,0,0,0,6,25,22,28,26,47,40,20,32,26,10,22
DRDC,7,65.2046684422773,1.63905248022579,26.2333333333333,116.916666666667,23.9166666666667,10,13,0,0,0,0,7,31,15,29,24,53,27,33,29,30,15,20
DRDC,8,73.6006311164446,1.47637754445098,24.3333333333333,119.483333333333,25.2,8,12,0,0,0,0,2,29,17,29,18,37,31,26,38,24,15,19
DRDC,9,78.1695108611002,2.83688980425799,24.2166666666667,110.933333333333,21.6,9,19,0,0,0,0,11,28,27,31,25,43,38,43,32,36,10,20
DRDC,10,75.2353273861569,1.79092807471903,22.4833333333333,111.5,23.3166666666667,11,18,0,0,0,0,7,31,18,30,28,54,25,42,38,29,14,21
DRDC,11,73.6534870288569,2.37584705471372,24.8166666666667,123.9,23,8,14,0,0,0,0,11,25,23,21,27,35,33,31,25,21,14,23
DRDC,12,76.2704680082916,3.87814560009436,23.8166666666667,119.35,22.5166666666667,8,17,0,0,0,0,1,37,29,28,32,40,26,25,32,28,14,15
DRDC,13,75.2146377564685,1.47468341711048,23.1833333333333,113.166666666667,22.8833333333333,8,19,0,0,0,0,1,27,17,24,33,35,35,33,38,29,13,24
DRDC,14,63.2817107706941,1.67670734091768,28.6166666666667,123.2,23.6166666666667,5,17,0,0,0,0,6,17,21,27,26,41,25,32,41,24,19,26
DRDC,15,56.8536323470584,2.37506202556327,25.0666666666667,119.133333333333,23.2666666666667,10,11,0,0,0,0,12,29,18,28,24,39,30,35,27,23,16,22
DRDC,16,76.1730367722203,1.99620795623905,25.3166666666667,119.783333333333,24.6,9,15,0,0,0,0,4,27,21,23,31,47,36,27,28,28,23,27
DRDC,17,78.9252595875417,2.75592439838991,23.6833333333333,114.766666666667,21.4666666666667,12,11,0,0,0,0,15,35,26,34,35,38,29,34,39,47,18,31
DRDC,18,72.0905593871891,1.862604296054,24.8,111.566666666667,21.8,9,15,0,0,0,0,5,27,24,32,25,43,38,41,36,38,18,28
DRDC,19,64.1570240049866,2.19803245337839,26.45,119.766666666667,20.5666666666667,13,13,0,0,0,0,13,29,19,20,17,32,38,37,37,31,12,33
DRDC,20,64.7885291375903,1.25997144853439,24.1666666666667,116.25,20.7666666666667,12,16,0,0,0,0,6,28,27,32,26,40,44,39,31,26,19,27
DRDC,21,57.1405575094677,1.71922290063373,26.8833333333333,122.116666666667,21.55,10,19,0,0,0,0,6,30,18,39,20,37,37,24,30,30,11,21
DRDC,22,76.5163968129467,1.35719670394097,22.1833333333333,119.066666666667,23.6333333333333,10,9,0,0,0,0,8,24,14,37,19,42,31,34,23,32,20,24
DRDC,23,77.0343613892923,1.52335378977071,25.4666666666667,123.416666666667,25.75,12,9,0,0,0,0,5,30,11,25,20,34,31,30,30,22,13,26
DRDC,24,74.8480278696041,1.67656621187247,22.2333333333333,120.066666666667,24.4666666666667,16,20,0,0,0,0,1,31,24,31,27,36,31,33,32,32,16,29
DRDC,25,66.1177194394769,2.357260697591,29.5666666666667,119.866666666667,22.6,5,17,0,0,0,0,8,37,22,35,33,38,33,26,36,26,11,26
DRDC,26,66.0588633619251,1.53071033548178,23.7166666666667,114.733333333333,22.5,10,17,0,0,0,0,5,26,18,38,30,38,32,44,36,37,10,41
DRDC,27,66.2161920512489,2.02807561149787,27,116.5,24.4,5,11,0,0,0,0,9,32,14,33,21,36,29,28,29,31,10,19
DRDC,28,66.541233173961,1.25929315589539,25.75,128.3,23.1666666666667,12,16,0,0,0,0,7,25,18,26,21,41,31,28,25,25,15,24
DRDC,29,84.079584015957,2.84221947289366,22.7666666666667,117.916666666667,22.7666666666667,8,13,0,0,0,0,11,31,20,31,21,37,34,33,38,24,17,15
DRDC,30,71.4558636565858,3.47370146259489,26.0333333333333,116.4,22.4,11,16,0,0,0,0,16,25,10,33,19,43,33,30,36,31,11,25
DRDC,31,74.7698143044046,7.22471724293584,24.3166666666667,120.6,22.4333333333333,7,20,0,0,0,0,7,29,33,32,29,39,30,34,41,27,18,24
DRDC,32,68.404837384473,2.09612036548152,25.7833333333333,118.933333333333,24.9333333333333,6,16,0,0,0,0,7,27,20,39,20,37,41,21,30,32,15,14
