Scenario,Replication,RAccessTime,CAccess,UATriage,UAOng,UACris,C1,C2,C18,C17,C16,C15,C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C4,C3
DRDC,1,51.90034817,2.026882357,19.8,112.6666667,20.56666667,14,9,0,0,0,0,9,41,22,39,32,46,40,40,37,34,18,21
DRDC,2,44.47709227,2.282196448,25.46666667,115.7833333,22.98333333,8,14,0,0,0,0,11,29,25,36,33,40,37,38,35,28,16,26
DRDC,3,44.30293566,2.659007905,22.78333333,121.1666667,23.43333333,8,10,0,0,0,0,6,28,21,40,27,40,31,36,34,30,20,21
DRDC,4,41.50302191,3.276048979,24.18333333,115.7666667,23.86666667,8,8,0,0,0,0,14,17,33,33,21,34,39,27,25,39,13,25
DRDC,5,47.40179822,2.744547156,23.15,109.05,20,15,23,0,0,0,0,3,34,25,36,31,32,32,38,40,25,16,25
DRDC,6,41.23771775,2.386708451,26.38333333,108.25,21.51666667,15,14,0,0,0,0,14,36,23,37,22,43,37,40,38,31,12,32
DRDC,7,39.41555027,2.193965475,26.3,117.65,24.01666667,4,13,0,0,0,0,5,32,22,29,27,40,28,37,33,26,12,25
DRDC,8,38.14092393,1.819463873,24.7,111.8666667,23.53333333,5,21,0,0,0,0,4,27,25,25,27,43,27,38,33,37,20,23
DRDC,9,42.41044847,1.870116758,25.95,112.6833333,22.46666667,10,18,0,0,0,0,5,27,15,23,30,33,38,38,46,26,15,22
DRDC,10,40.35050966,1.645437377,25.51666667,121.4333333,24.35,8,17,0,0,0,0,6,25,22,20,30,39,33,30,37,30,10,28
DRDC,11,43.05915757,1.506223972,24.18333333,115.8666667,22.56666667,13,23,0,0,0,0,5,25,16,20,23,38,30,28,36,26,14,27
DRDC,12,46.1292399,3.663277962,24.05,112.5,20.21666667,9,24,0,0,0,0,5,32,31,26,28,43,32,37,46,45,15,28
DRDC,13,43.05065866,1.623219337,24.41666667,111.2666667,22.35,8,15,0,0,0,0,6,31,16,28,21,37,32,34,36,30,20,38
DRDC,14,32.78322053,1.63194931,27.78333333,120.2833333,23.91666667,13,17,0,0,0,0,7,38,17,27,23,31,26,26,30,29,10,24
DRDC,15,37.75160933,2.723414683,25.9,116.7666667,23.86666667,7,11,0,0,0,0,7,28,23,29,26,28,31,27,24,24,19,22
DRDC,16,44.94899537,3.504408847,25,114.1333333,23.73333333,8,21,0,0,0,0,8,32,36,23,34,45,31,25,29,39,15,27
DRDC,17,49.76663573,1.98445914,22.11666667,116.7666667,23.06666667,7,13,0,0,0,0,9,30,23,24,28,40,29,40,34,39,20,20
DRDC,18,41.27766264,2.006702358,24.35,112.0666667,23.46666667,8,20,0,0,0,0,6,22,12,28,28,28,35,40,38,23,12,29
DRDC,19,37.61714718,2.724433279,27.35,119.6666667,20.33333333,11,16,0,0,0,0,5,31,17,33,28,35,28,32,38,33,15,29
DRDC,20,35.66778048,1.637244853,27.5,117.55,23.13333333,7,9,0,0,0,0,12,28,14,26,22,35,26,27,29,32,12,23
DRDC,21,38.3402878,1.952206763,26.15,121.7833333,20.28333333,9,8,0,0,0,0,8,35,28,31,33,39,38,35,30,37,14,25
DRDC,22,50.81575132,1.316878847,20.85,114.9833333,23.1,10,12,0,0,0,0,3,27,23,31,38,27,30,36,29,30,17,30
DRDC,23,43.36497504,3.555988494,22.85,116.9833333,23.78333333,8,11,0,0,0,0,9,30,41,23,29,36,38,33,43,27,12,17
DRDC,24,44.28289116,1.656745832,22.26666667,119.8833333,26.1,12,11,0,0,0,0,11,29,21,26,21,39,27,25,32,26,8,22
DRDC,25,41.26499583,1.469905612,26.4,119.85,23.43333333,5,13,0,0,0,0,9,35,12,33,27,33,31,33,28,25,16,28
DRDC,26,36.655106,2.71820019,24.78333333,117.8833333,24.6,6,10,0,0,0,0,9,32,17,30,33,38,37,24,32,22,9,20
DRDC,27,42.24150461,2.059050513,27.23333333,113.4833333,23.83333333,8,20,0,0,0,0,8,34,17,29,29,34,24,29,29,30,15,18
DRDC,28,40.65344675,2.291577265,25.98333333,116.7833333,22.66666667,10,11,0,0,0,0,13,17,16,34,25,38,31,24,37,25,20,28
DRDC,29,41.67623386,3.426169898,24.56666667,116.85,22.16666667,5,13,0,0,0,0,10,35,28,35,21,40,34,34,36,27,13,20
DRDC,30,36.32075384,3.833557439,29.9,113.4666667,21.43333333,13,11,0,0,0,0,13,27,22,37,23,25,35,36,44,33,21,29
DRDC,31,48.9654256,4.980775869,23.35,115.8833333,21.76666667,9,21,0,0,0,0,1,37,34,32,29,41,36,23,43,35,19,29
DRDC,32,44.9560231,3.100159609,25.5,114.7833333,23.03333333,11,13,0,0,0,0,11,35,25,31,30,36,36,34,33,38,17,32
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,"2.02688235743771,2.28219644792153,2.65900790511942,3.2760489791036,2.74454715615681,2.38670845131927,2.19396547452266,1.81946387331406,1.87011675789224,1.64543737656683,1.5062239722831,3.66327796201891,1.62321933651033,1.6319493104437,2.72341468341708,3.50440884742307,1.98445914027792,2.00670235836612,2.72443327880264,1.63724485282885,1.95220676253174,1.31687884682874,3.55598849444511,1.65674583157629,1.46990561205465,2.71820018953921,2.05905051288743,2.29157726524094,3.42616989807393,3.83355743920886,4.98077586876927,3.10015960938243",,,,,,,,,,,,,,,,,,,,,
