Scenario,Replication,RAccessTime,CAccess,UATriage,UAOng,UACris,C1,C2,C18,C17,C16,C15,C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C4,C3
DRDC,1,78.0681044972208,1.06988213524886,21.3,124.766666666667,23.9,7,16,0,0,0,1,4,26,15,23,17,36,29,25,30,29,12,13
DRDC,2,71.7705548201023,1.51900394360317,26.25,109.233333333333,21.6333333333333,11,15,0,0,0,2,4,39,19,34,35,39,31,42,35,35,15,23
DRDC,3,75.0042817140304,1.15201108886432,22.1833333333333,123.883333333333,23.0666666666667,8,5,0,0,0,0,4,25,24,34,23,37,39,25,26,28,10,32
DRDC,4,70.6960669528851,0.677963190253155,24.65,122.866666666667,22.8666666666667,8,13,0,0,0,0,3,26,17,34,18,46,36,42,34,22,14,25
DRDC,5,87.9010148694604,1.0139324087265,24.35,121.116666666667,21.5,8,9,0,0,0,0,5,33,18,28,31,43,27,23,28,23,14,27
DRDC,6,67.756312268531,1.11350902827434,28.8666666666667,125.316666666667,22.9,12,15,0,0,0,0,7,21,20,25,21,46,27,25,34,23,21,20
DRDC,7,64.488912606431,0.875080138938395,27.8,125.1,26.3,5,14,0,0,0,0,6,12,16,20,21,30,25,20,18,23,12,14
DRDC,8,59.5718561282311,0.790660462682095,24.4333333333333,119.7,24.9,5,14,0,0,0,0,1,21,10,24,34,39,35,30,25,32,8,26
DRDC,9,68.5272260931489,1.13597443258339,23.6166666666667,111.4,21.7666666666667,12,13,0,0,0,0,4,33,14,38,29,26,32,28,40,29,15,22
DRDC,10,70.2217839774242,0.827346694623316,25.2,119.783333333333,21.4333333333333,7,23,0,0,0,0,5,33,15,37,31,39,38,32,27,33,12,17
DRDC,11,64.1202295997648,1.42501030897838,26.3833333333333,121.416666666667,22.1666666666667,8,18,0,0,0,0,9,28,18,34,28,36,24,36,38,30,15,23
DRDC,12,71.684795252465,0.96927184297324,25.25,117.733333333333,20.7666666666667,4,11,0,0,0,0,3,35,28,33,24,37,27,34,30,35,16,31
DRDC,13,66.8590451911932,1.48005550810075,26.35,113.683333333333,22.2333333333333,9,16,0,0,0,1,6,33,20,38,33,44,30,37,31,29,15,21
DRDC,14,62.733498925029,0.89886695085395,26.4333333333333,126.033333333333,24.3666666666667,6,11,0,0,0,3,2,22,14,36,19,27,34,24,28,23,15,26
DRDC,15,67.3195820702627,0.949550324891171,24.2,117.366666666667,23.8333333333333,9,13,0,0,0,0,5,32,11,26,20,41,34,36,28,25,15,17
DRDC,16,87.0477600354889,1.22554470238952,24.2,118.833333333333,23.8333333333333,11,10,0,0,0,1,5,29,16,25,18,40,34,31,32,24,14,30
DRDC,17,77.8197325839027,1.95579166398978,22.8166666666667,122.033333333333,22.2333333333333,8,15,0,0,0,0,9,32,22,36,34,36,31,37,25,29,13,26
DRDC,18,59.6500919087416,1.23895348413907,27.65,119.116666666667,21.9,10,17,0,0,0,0,4,21,12,33,23,40,39,31,31,31,12,25
DRDC,19,69.5721273249153,1.21753725847371,24.0833333333333,123,22.6666666666667,6,11,0,0,0,0,4,30,15,23,14,29,32,22,24,24,14,22
DRDC,20,57.2895744215324,1.38124375383955,25.7333333333333,118.816666666667,22.1333333333333,5,17,0,0,0,2,2,25,16,28,20,39,28,32,31,22,11,25
DRDC,21,66.4552201990405,1.29181079029983,24.2666666666667,127.033333333333,23.2,8,8,0,0,0,1,6,33,14,32,22,35,25,28,26,18,13,17
DRDC,22,66.4927107236437,1.17343912753088,24.55,129.1,23.8,11,7,0,0,0,0,7,27,21,29,15,48,28,35,32,25,14,15
DRDC,23,82.7731486168085,0.762502401194416,22.3333333333333,114.45,22.9,15,20,0,0,0,0,2,32,22,26,28,40,23,33,29,27,15,23
DRDC,24,72.0108013920213,0.964413231142237,21.9333333333333,119.633333333333,24.2333333333333,11,13,0,0,0,0,2,25,21,28,28,36,31,40,27,30,16,21
DRDC,25,62.5070692267484,1.331245707666,26.8333333333333,116.983333333333,23.1333333333333,5,18,0,0,0,4,3,23,21,31,24,44,29,42,28,41,10,19
DRDC,26,55.907428209906,0.901690572562552,28.1166666666667,117.733333333333,22.9333333333333,11,10,0,0,0,0,2,30,17,45,18,55,37,28,34,25,14,21
DRDC,27,47.1969244537864,1.18605252858179,29.9,114.083333333333,21.4,10,21,0,0,0,0,5,33,24,31,27,48,31,35,40,29,16,26
DRDC,28,60.878463679947,1.06248804599779,26.35,112.233333333333,20.6333333333333,10,19,0,0,0,0,5,39,18,41,20,39,24,30,38,21,12,28
DRDC,29,76.1442089029056,0.657105285747103,23.6333333333333,111.333333333333,20.9666666666667,14,22,0,0,0,0,1,31,19,32,24,35,34,33,39,31,15,28
DRDC,30,67.2186949444347,1.30815115961498,24.9666666666667,110.45,21,12,13,0,0,0,0,5,29,19,35,35,41,34,51,31,28,21,19
DRDC,31,81.0730171950407,1.11488667093203,23.35,118.9,22.4,8,18,0,0,0,4,2,22,20,35,23,33,34,30,34,32,11,26
DRDC,32,62.7708158311216,1.25514547685344,27.5666666666667,121.7,23.3666666666667,10,13,0,0,0,4,3,28,14,26,23,46,27,33,33,24,15,24
